,y,count,x,xmin,xmax,density,ncount,ndensity,PANEL,group,ymin,ymax,colour,fill,size,linetype,alpha,,,,,,max',1
39,2,2,6.08,5.92,6.24,0.024131274,0.181818182,15.06909091,1,-1,0,2,NA,grey35,0.5,1,NA,0.32,0.007722008,0.024131274,0.181818182,15.06909091,,
40,4,4,6.4,6.24,6.56,0.048262548,0.363636364,30.13818182,1,-1,0,4,NA,grey35,0.5,1,NA,0.32,0.015444015,0.048262548,0.363636364,30.13818182,,
41,5,5,6.72,6.56,6.88,0.060328185,0.454545455,37.67272727,1,-1,0,5,NA,grey35,0.5,1,NA,0.32,0.019305019,0.060328185,0.454545455,37.67272727,,
42,6,6,7.04,6.88,7.2,0.072393822,0.545454545,45.20727273,1,-1,0,6,NA,grey35,0.5,1,NA,0.32,0.023166023,0.072393822,0.545454545,45.20727273,,
43,3,3,7.36,7.2,7.52,0.036196911,0.272727273,22.60363636,1,-1,0,3,NA,grey35,0.5,1,NA,0.32,0.011583012,0.036196911,0.272727273,22.60363636,,
44,7,7,7.68,7.52,7.84,0.084459459,0.636363636,52.74181818,1,-1,0,7,NA,grey35,0.5,1,NA,0.32,0.027027027,0.084459459,0.636363636,52.74181818,,
45,5,5,8,7.84,8.16,0.060328185,0.454545455,37.67272727,1,-1,0,5,NA,grey35,0.5,1,NA,0.32,0.019305019,0.060328185,0.454545455,37.67272727,,
46,11,11,8.32,8.16,8.48,0.132722008,1,82.88,1,-1,0,11,NA,grey35,0.5,1,NA,0.32,0.042471042,0.132722008,1,82.88,,
47,10,10,8.64,8.48,8.8,0.120656371,0.909090909,75.34545455,1,-1,0,10,NA,grey35,0.5,1,NA,0.32,0.038610039,0.120656371,0.909090909,75.34545455,,
48,6,6,8.96,8.8,9.12,0.072393822,0.545454545,45.20727273,1,-1,0,6,NA,grey35,0.5,1,NA,0.32,0.023166023,0.072393822,0.545454545,45.20727273,,
49,8,8,9.28,9.12,9.44,0.096525097,0.727272727,60.27636364,1,-1,0,8,NA,grey35,0.5,1,NA,0.32,0.030888031,0.096525097,0.727272727,60.27636364,,
50,9,9,9.6,9.44,9.76,0.108590734,0.818181818,67.81090909,1,-1,0,9,NA,grey35,0.5,1,NA,0.32,0.034749035,0.108590734,0.818181818,67.81090909,,
51,10,10,9.92,9.76,10.08,0.120656371,0.909090909,75.34545455,1,-1,0,10,NA,grey35,0.5,1,NA,0.32,0.038610039,0.120656371,0.909090909,75.34545455,,
